"标题和要求
","范文
","","分析
","考试类型","附件"
"Now watch the video clip again before you start writing.

Now you will have 30 minutes to write the essay based on the outline given below.

1.Write a short summary of this news item.

2.Give your comments on how to preventdrink driving.
","Summary

People usually enjoy speed, but speed is one of the most important factors in serious road accidents. In the UK, hundreds of people are killed in road accidents, and more than 20,000 are injured every year. Well over half of us exceed the speed limit given the chance. The faster the driver goes, the greater the chance of losing control and the less time he has to react if anything does go wrong. British researchers have developed an intelligent system to control car speed. And the system is recommended to be put into use in the UK over the next two decades.

Comments

Drink driving is a major killer all around the world, despite so many campaigns to get rid of this. These deaths by drink driving can be stopped if all the drivers promise not to drink a drop before driving. The deaths can also be prevented by police checks, as well as severe punishment for those drink drivers. Meanwhile, all drivers should take their responsibilities and remember that never drive after drinking. As long as a driver has drunk, he should not drive after that, no matter how conscious he claims to be. There are a lot of ways to go home, such as taking a taxi, using the public transportation, or just arranging a lift with someone who has not drunk. If everyone treasures our lives, I'm sure that our world will be much safer.
","","","视听写作（四级网考）","/resourcefile/201002/video/Flv-20100204134305381.flv"
"1. Write a short summary of what you've heard, which should include:

* a brief introduction toHollywood Sign and its renovation

2. Give your comments on whether it is important to preserve historic buildings in a city's modern development.
","Hollywood movies or blockbusters are a household name for most college students, but not many may have heard of the ""Hollywood"" sign—a nine-letter sign erected on a hill that represents the place producing those famous movies. From what we've just listened to, we learn that the sign has been ""endangered"" at least twice, facing the risk of being demolished, but fortunately saved by donations from people like Playboy Companyfounder Hefner. To them, it is more a historic symbol than just a sign. That is why they are willing to spend so much preserving this sign of great historic significance.

Then we can't help asking ourselves, ""Is it important to preserve historic buildings in a city's modern development?""In other words, can we replace the old buildings with modern ones in urban planning?

Personally I believe that the importance of maintaining the historic buildings of a city could outweigh the value of replacing them with modern buildings. Every building has its own historical background, especially historic buildings from which we can learn something specifically about the history of our city. And history has always been part of our life. That explains why the Forbidden City is on the Top Priority List of Renovation in our country. Furthermore, historic buildings would accentuate a city's culture and characteristics. Although a new modern city will usually be built near the old one inthe city's expansion, the most attractive part is still the old city which has many historic buildings. A case in point is Yu Garden in Shanghai. Finally, we have the responsibility of preserving historic buildings forfuture generations so that they will have the opportunity to know the past.

All in all, I would say a city's development should not be done at the cost of ancient buildings without sound justifications. It's our responsibility to protect historic buildings—part of our culture and history.
","","
","视听写作（四级网考）","/resourcefile/201005/technology/audio/Mp3-20100526110631867.mp3"
"1.Write a short summary of the video clip, whichshould include:

* A boy's tragic story

* The neglect of social workers

2. Give your comments on the boy's tragedy.
","It is a tragic story about a six-year-old boy who was beaten to death by Marcas Fisher, the man he lived with. Seven months ago, his mother could not look after him any longer so he was sent to the present place. The boy had cried for help more than once, but was not paid attention to by social workers.

From the tragedy we can know that the children's rights in society are far from people's expectation. The child's mother did not take the responsibilities as a mother. The child was killed by a manwho has acriminal record, a number of crimes, including rape as teenager. How incredible is such kind of man could get custody! It is social workers' carelessness that made the tragedy happen. All of the people ignored the boy's weak cry for help! He was cast away by the whole society. What a tragic fate for the boy!

Children mean the future for both parents and a country. It is therefore everyone's responsibility as well as the government's to take good care of each child and protect their rights as a human being to live, grow up and be happy! I sincerely hope such a tragedy will never ever happen again!
","","
","视听写作（四级网考）","/resourcefile/201006/video/Flv-20100619152821924.flv"
"1．Write a short summary of the news item, which should include:

* College life of Chinese students

* The reasons for college students to play too much

2.Give your comments on the theme of how to enjoy childhood.
","In college, students usually start to live and study independently; they are left to make use of their own time when their parents are not around. Therefore, some of them take advantage of the freedom to play day and night, leaving their studies behind. The reason why some students overplay themselves is that they want to gain back the free time they lost in their childhood.

A report of China Youth Daily says that more than half of college students had little time to play when they were kids.Children usually spend most of their time studying at school and at home. What is more,they are forced to join classes after schoolto study English, painting, music instruments and others. As a result, most kids have little time to enjoy their childhood.

From my point of view, after school parents should give their children sufficient time to play in the open air because playing is essential to the overall development of young kids.
","","","视听写作（四级网考）","/resourcefile/201006/technology/audio/Mp3-20100617181918622.mp3"
"1. Write a short summary of the news item, which should include:

* The conference about reducing aviations contribution to CO2 emissions

* What the airline industry is trying to do to reduce CO2 emissions

2. Offer some suggestions on what we individuals can do to protect the environment.
","A conference, attended by 380 delegates from big airlines, is being held to discuss greener operations. The companies, which are traditionally rivals to each other, have now come together with a view to finding ways to protect the environment.

The agenda for the meeting is to reduce CO2 emissions. Through heated debates, the industry is trying to seek cleaner fuels as an alternative to oil and to think of producing fuel-efficient planes. Some airports are setting an example in recycling their waste.

Personally, I believe that the responsibility of environmental protection lies not only with the government and companies, but with every individual because the issue concerns us all. It is required of us to adopt a green way of life. That means we ought to be sparing in the use of water, electricity and other resources, and to reduce or even avoid the use of environmentally unfriendly products, inclusive of plastic shopping bags and disposables.
","","","视听写作（四级网考）","/resourcefile/201006/video/Flv-2010062115361382.flv"
"1. Write a short summary of the news item, which should include:

* International students in the United States
* The University of Southern California

2. Describe the trend of studying abroad among Chinese students and analyze the reasons.
","More international students come to the United States than ever before. Home to the largest number of international students for eight years on end is the University of Southern California, attracting students from over 100 different places of origin around the world, especially those from India and China, with its strong academic programs. The students can interact with their American peers and learn about American life.

There has been a passion for studying abroad among Chinese students. Theirfavorite destinations are English-speaking countries. Some of them give up the chance of taking college entrance examination at home, and choose to apply for an undergraduate program overseas. Others try to pursue their further studies after finishing college in China.

The reasons for the surge of overseas study are quite apparent. What appeals most strongly to Chinese students is the quality education many foreign universities offer. Young people go abroad in the hope of having their competitive edge sharpened and securing themselves a brighter future. For lovers of English, Britain and the United Statesare no doubt ideal places where they can expose themselves tonative speakers ofEnglish.
","","","视听写作（四级网考）","/resourcefile/201006/education/audio/Mp3-20100621113148886.mp3"
"1. Write a short summary of the news item, which should include:

* The content of Obama's speech

* The opinions of those in the TV program about his speech

2. Give your comment on the speech.
","In the speech delivered by Barack Obama as the winner of the Nobel Prize for Peace, he was speaking forcefully in defense of war waged by America. According to him, the war is morally justified when fought to defend America from evil or to rescue an invaded country. ""War"" is the key word in his speech, which he used most frequently.

Obama's speech is well received among the three who join the TV program. In the first guest'sopinion, the president rose to the challenge and his speech would be well remembered.The second guestbelieves Obama was frank and honest in dealing with the difficult issues. The third guestthinks the president is willing to commit arms in conformity with the international law.

Personally speaking, I oppose the ideas put forth by Obama in his speech. War is dreadfully bloody and destructive no matter how it is whitewashed. As history has proved, every war started by America overseas in the name of upholding justice has rendered innocent victims and caused destruction beyond words. In fact, more rational alternatives, apart from war, can be sought out to resolve conflicts and preserve peace.
","","","视听写作（四级网考）","/resourcefile/201006/culture/audio/Mp3-20100625224039682.mp3"
"1. Write a short summary of the video clip, which should include:

* The consequences of the earthquake
* The rescue efforts that have been made

2. Give your suggestions on the precautions against an earthquake.
","A severe earthquake hit central Italy, killing nearly 300 people and leaving a thousand injured. A series of strong aftershocks have followed upon the heels of the earthquake, posing more difficulties for rescue efforts. People are forced to abandon their houses and stay either in tents or at hotels instead.

Rescue workers have responded remarkably well to the disaster. Adequate food, water and medicine are available. Patients can receive treatment in a field hospital. There is also psychological counseling to help the survivors get over the shock. Thanks to the extraordinary rescue services, people in the quake-stricken areabegin to come to terms with the reality.

Nevertheless, the work done prior to a disaster is, it seems to me, even more valuable than that after. Precautions against an earthquake demand collective efforts. The government, first of all, should channel funds into the construction of quake-resistant buildings in the earthquake-prone areas. Besides, scientists are expected to work harder toward a more accurate forecast. Meanwhile, the public need to be equipped with necessary survival skills through specialtraining programs.
","","","视听写作（四级网考）","/resourcefile/201006/video/Flv-20100621224851176.flv"
"1. Write a short summary of the news item, which should include:

* The environmental disaster
* The speech to be delivered by President Obama

2. Give your comment on the incident.
","An accident of BP America sparked an explosion, causing a deep-sea oil well to burst in the Gulf region. The leaking oil was starting to affect the beaches in Florida. The chairman of the company expressed sorrow and regret for the incident. Yet its emergency response plans are inadequate.

President Obama will address the nation on the oil spill. He will illustrate the efforts his administration has taken to help clean up the oil,remedy the environment damage and reduce the economic impact on the locals to the minimum. He will also express the resolution of his administration to do everything in its power to tackle the disaster.

The incident provokes us into thinking. Some companies try to reap commercial profits at the expense of the environment. They have to be held responsible and pay ahigh price for their wrongful deeds. The penalty imposed upon them should be severe enough to alert them of their serious mistakes and to warn others against such deeds.
","","","视听写作（四级网考）","/resourcefile/201008/societyhot/audio/Mp3-20100813154124298.mp3"
"1. Write a short summary of the news item, which should include:

* Why the old coal mines closed down

* What the changes of coal mining are

2. Give your comments on the theme of""Economic Development and Environmental Protection"".
","Due tothe tremendous damage to the environment, most of the opencast coal mines were closed down, and many workers lost their jobs. Now, with care for the environment the left mines are extracted with advanced machines, and a new company has been created to clean up the damage caused by earlier mining, and it offers jobs to many former miners as well.

Which is the priority, economic development or environmental protection?

Some individuals argue that the answer should be economic development, because the environmental problems are inevitable and they are also the by-products of economic progress, which can be handled later when the money and time are adequate.

However, others hold the opposite opinion. Since serious environmental problems will threaten human living conditions and the earth, they, of course, should get more attention.

Actually, environmental protection and economic development can co-exist and stay in harmony. Our final aim is to provide a comfortable life for people. If we get it at the cost of environment, what is the point? So keeping the balance between environmental protection and economic development is of prior importance in guaranteeing us a better life.
","","","视听写作（四级网考）","/resourcefile/201006/video/Flv-20100628215546270.flv"
"1. Write a short summary of the report, which should include:

*

Politicians' proposal on education reform in Britain

*

Different opinions on it

2. Give your comments on the issue of education reform in Britain in terms of standards and centralization.
","In this report, a continuous strike of teachers in Britain made the education issues a greater concern of both the public and politicians. The Conservative Party proposed a radical education reform, which involvedthe following aspects.First of all,parental rightin choosing schools as they want should be increased so that good schools may beexpanded and bad schools may be shut down. Secondly, somepractical skills should be incorporated in school curriculum to enhance moreemployment chances for the students after their graduation.Thirdly,the powerof the local government should be reduced so that the central government would have better controlover educational standards.

However, these proposals metsomecriticisms. Some experts believed thatschool vouchers would not ensure the quality of educationand itwould be unfair to take power from local government secretly. Some people claimed what really mattered was the content of teaching that would influence young people's whole life.

In my view,practical skills should not be put into the curriculum since it will inevitably weaken the academic part of education. The job-related skills could be picked up laterduring work hours. As for the central control of educational standards, I think that is totally not necessary. Schools should have more say on the standards andthe curriculumto meet the local needs.
","","
","视听写作（四级网考）","/resourcefile/201006/video/Flv-20100625121155533.flv"
"1. Write a short summary of the news item, which should include:

* The current situationof traditional bookstores

2. Give your suggestions to the operation of traditional bookstores.
","Currently, traditional bookstores have to face great challenges from online book retailers and e-book sellers. Meanwhile, they are forced to bear high rents and loss of abundant readers. Therefore, some of them ceased their business because of losing money.

To survive in the fierce competition, traditional bookstores need to enhance their service in several aspects. Firstly, they'd better offer certain book discounts, which will be very attractive for readers. Then, they need to decrease their operating expenses so as to be more competitive in the market. In addition, it is reasonable to diversify their distribution channels to satisfy different customers. For example, they can also build their website to sell books online.

All in all, traditional bookstores should look for effective ways to rise to the fiercecompetition.
","","","视听写作（四级网考）","/resourcefile/201012/life/audio/Mp3-2010122716105575.mp3"
"1. Write a short summary of the news item, which should include:

* The accident in an airport in the US
* The use of full-body scanners in airports in the US

2.Give your measures to strengthen security of air travel.
","A young foreignermanagedto takethe explosive to an airplane in the US. Luckily, no damaging results took place because he was stopped before the plane took off. Thisnews has aroused great concern among Americans who become increasingly worried about the overall situation about security in American airports.

People have proposed various measures to prevent such accidents from happening again, one of which is the use of full-body scanners in all airports for security check. Supporters claim that a full-body scanner can detect explosives and many dangerous things before passengers board the plane. However, some suspect full-body scanners may bring about safety and privacy problems to passengers. But experts believe that the correct use of these scanners won't do any harm to the people whogo throughthe security check.

Besides full-body scanners, I think other effective measures can be taken. First of all, more policemen and security staff can be deployed around the airport to detect suspects with dangerous things. What's more, dogs can be used to pick up the suspects and fight against criminals. In addition, materials publicizing flight security can be handed out to passengers to give them more common sense about safe flight travel. If all these can be carried out smoothly, the security situation in airports and air travelwill be improved to a great extent.
","","","视听写作（四级网考）","/resourcefile/201006/societyhot/audio/Mp3-20100627232002300.mp3"
"1. Write a short summary of the news item, which should include:

* Energy shortage
* The ways of solving the problem of energy shortage

2. Give your comments on the theme of Solving the Problem of Energy Shortage.
","Energy shortage is a very serious problem in the world now. Many people worry that if we keep on using those fossil energy resources without any control, those resources on the earth will be exhausted soon. This of course will cause serious problems and even crisis and threaten the survival of mankind.

Most people agree that the problem can be solved in one way or another. One is to conserve and save our energy. For example, some countries have a daylight saving system to use less electricity for lighting during daytime. Some have enforced serious penalties on the overuse of electricity, water, and farming land. By these means, people hope the drain on energy resources could be slowed down.

However, conservation alone cannot solve the problem. Another effective way is to develop new energy resources. There are many other energy resources that we can develop such as nuclear power, waterpower and solar power. Those energy resources can be recycled and reused and thus helping our society develop in a sustainable way.

Actually, many countries' governments have realized the problem of energy shortage and began to think of ways of solving it. Some international conferences are also held in order to get some agreements and cooperation among different countries. However, not all the governments turn to be very cooperative in this process, especially when a sustainable way of living may reduce the financial profits they make. So there is still a long way to go if we want to solve the problem. But there is no doubt that those developed countries should take more responsibilities. Anyway, if all the above guidelines can be strictly followed by all governments and every ordinary person, I believe, we can solve the problem of energy shortage in the end.
","","
","视听写作（四级网考）","/resourcefile/201007/societyhot/audio/Mp3-20100704111329191.mp3"
"1. Write a short summary of the news item, which should include:

●The phenomenon of online dating in China

●The trend of online marriage

2. Give your comments on online love.
","According to the survey, Internet dating is becoming more and more popular among the Internet users in China. A great majority of the respondents admitted that they used the Internet for a romantic purpose, and some of them even got married online without meeting each other in person. The popularity of Internet marriages is dramatically increasing.

Even though some romantic relationships on the Internet may develop into a wonderful marriage in the real world, it may also be a dangerous game. To some married people, the online love may destroy their family in the real world, causing a lot of social problems.

Considering the two sides of online love, people should bear a clear goal before searching for an online lover. Any form of personal pleasure should be established on the principle of not hurting others, or it will not be permitted in our society.
","","","视听写作（四级网考）","/resourcefile/201007/technology/audio/Mp3-20100705174314323.mp3"
"1. Write a short summary of thenews item, which should include:

*

What the volunteer work islike in Los Angeles

2. Give your comments on volunteer work.
","The news is about the Big Sunday volunteer project in Los Angeles. It attracts 500 people in the neighboring community to participate. Big Sunday was initiated in 1999 and it is now a weekend activity lastingtwo days. People can help in whatever way they like, such as, literacy, the environment, AIDS, seniors, animals, veterans, and women's issues. It's a meaningful experience for the participants andthey are having a good time helping build a garden ina local school.

Volunteer work is significant to the morals of society, which encourage lovefor others and selflessness in helping others. For example, the garden in the news being built in a school by volunteersmay contribute to the local education. If a society can value volunteer work more than materialism, people willwarm-heartedly help others andfriendly communities will be built, and hence a harmonious society.

In China, more and more people are aware of the value of volunteer work and participate as well. Afterthe earthquake in Sichuan, a large number of volunteers went to Wenchuan to give a helping hand. Those volunteers were so devoted and made a lot of sacrifice to save others' lives and to help the desperate people there, which moved me to tears when I saw the related news through media. Another good example was the 2010 World Expo in Shanghai. So many young volunteers got involved in this big event. Whatever their work was, they made their contribution to this historic event.

Volunteer work iswidespread in China now. However, it is not only about helping with the Olympics or World Expo, but also about helping the people around you and making your own community a better place to live in.
","","
","视听写作（四级网考）","/resourcefile/201007/technology/audio/Mp3-2010070812183654.mp3"
"1. Write a short summary of the news item.

2. Your ideas on televised debate for political election.
","In some Western countries, it is their political custom for candidates to have some hot debates before the election. In this news item, three representatives from different political parties had a televised debate for the position of British Prime Minister. They argued with each other about their own political thoughts and plans. Based on the debates, voters may familiarize themselves with the candidates and then make a wise choice for their future leader.

As far as I am concerned, televised political debate is a good way for voters to get to know about the candidates and helps them to choose the appropriate leader. In recent years, although there is no live TV political debate on the national level in China, there are some live TV election on the local level in some places. And both Chinese politicians and people are dealing with it with great cautiondue to the uniquesituations in China.

Of course, although televised political debate sounds nice, it may also bear some problems. Some candidates may talk big and give personal attack to their opponents in the debate to win votes. But after they get elected, they may not keep their promises.
","","
","视听写作（四级网考）","/resourcefile/201006/politics/audio/Mp3-20100628012315530.mp3"
"1. Write a short summary of the new research conducted by Japanese scientists;
2. How to keep a healthy diet.
","According to a new study by Japanese researchers, the eating of rice may well reduce the chances of heart attacks. Of course, this is a piece of good news for all people. However, the traditional Japanese diet full of fish and rice is losing popularity in Japan, especially among youngsters because of the introduction of western food.
Therefore, there is always a contradiction between taste and health when we are eating. However, we must make efforts to keep a healthy diet in order to keep fit. Firstly, we should have more fresh vegetable and fruit in our daily diet. Secondly, we should follow the Japanese researchers’ advice to have rice for every meal. Last but not the least, it is of vital significance to have a routine eating habit, such as never eating anything late in the night.
Although it is extremely difficult to follow the above suggestions and resist the temptation of some delicious but unhealthy food, we should at least make a balance between what we eat and our health.
","","
","视听写作（四级网考）","/resourcefile/201007/video/Flv-20100708220916323.flv"
"1. Write a short summary of the news item, which should include:

* Description of people's life in Livigno 30 years ago
* Description of people's current life in Livigno

2. Give your comments on the change of Livigno.
","Thirty years ago, Livigno was an undeveloped agricultural area. In summer, people used to climb the mountains to look after the animals and they had to collect wood for the winter. When winter came, they only had contact with Switzerland by horse. At that time, there was no radio or records in their home, not to mention television. Therefore, they were total strangers to the outside world.

However, 30 years later, Livigno, the previous tiny remote agricultural settlement, has transformed into one of Europe's most popular ski resorts. Influenced by the tourist boom, the people are no longer the innocent farmers. Some of them have becomeowners of hotels, souvenir shops or music stores. People's current life has changed totally.

All these fantastic changes should be attributed to the growth in Livigno. In one generation, Livigno has grown from a small farming settlement in the Alps to one of Italy's top ski resorts. This was all the benefit brought bya new road. From the development of Livigno, we may draw a conclusion that no matter the natural condition in one area is good or bad, exploring its superiority in strength can produce remarkable development.
","","
","视听写作（四级网考）","/resourcefile/201007/video/Flv-20100712094002118.flv"
"Now you will have 30 minutes to writean essay based on the outline given below.
1. Write a short summary of the news item.
2.Express your opinions on the story.
","The Talk Show hosted byWinfrey is mainly telling a conflict in a TV network.

Jay Leno, as a prominenthost of NBC, hosted a comic show and won the popularity from the audience. But when Conan, another famous host expressed his intention to leave the network, things changed. The executive of the company came straight to Jay's office, and told him to leave the network and the show he loved so much. It broke his heart, as he knew his program was still number one at that very moment. And the only explanationcould only be that the company was trying to cater to Conan's ambition. Five years later, Jay was invited back to the network to launch a big TV show, and fortunately he made it popular as before. Dissatisfied with the time arrangement of his program, Conan eventually left the company by accepting $45 million. And finally, the war of words between the two ended.

Two lessons can be drawn in Jay's case. First, no company will offer free lunch. The executives makeevery decision for the interest of the company. In order to survive in the rat race, especially in contemporary society, we have to make ourselves well prepared for our job. Second, we do need patience and prudence in bad time of our life. Without the very spirits, Jay would not have had the chance to return. Optimism will help us go through the darkest moments in our life.
","","
","视听写作（四级网考）","/resourcefile/201007/video/Flv-20100713112237578.flv"
"1. Write a short summary of the news item, which should include:

* The summer program organized by CNN Student News
* Activities of the program

2. Give your comments on the theme of Leadership.
","Taking Leadership as the theme, CNN Student News organized a summer program in the state of Georgia. About 100 high school students were invited to attend the program. By going through various activities, such as working on leadership skills, learning about media literacy, observing the making of CNN news program and group discussion, they got a deeper understanding on the meaning of leadership. Some of them shared their opinions on the topic. It seems they really learned a lotfrom the program.

After watching the video show, I reflect on the theme, Leadership. It consists of many elements. Mutual trust and respect, the ability to listen and efficient organization are all indispensable qualities of good leadership. Leadership should never be narrowed downto giving orders and maintaining one's authority.And it must be made clear that although excellent individual capacity is essential for a man to be a successful leader, it's far from enough. That's because, to accomplish a task, we need cooperation and effort of every member in the team.
","","","视听写作（四级网考）","/resourcefile/201007/video/Flv-20100713113018515.flv"
"1. Write a short summary of the video clip, which should include:

* The girl's accident
* The safety state of American escalators

2. Give your comments on what should be done to avoid escalator accidents.
","We shouldn't take it for granted that all the working escalators we step on are safe. It is reported that a little girl became the victim of an escalator accident. With her foot being sucked into the gap between the step and the side panel, the little girl suffered a series of surgeries.According to the report, many escalator users don't follow experts' suggestion to check it twice a year and there is no federal regulation on escalator inspection. What's worse, several escalators in public areas have great potential defects such as a hole between steps, loose side panel or gaps larger than a pencil tip, which will cause disasters to passengers.

When the flesh contends against cold machines, it is human beings that always are the victims. Therefore, the government should not shed off the responsibility to protect its tax payers, especially when they use the public facilities. Firstly, on the legislative level, the government should work out a series of national laws on escalator manufacture, safety standard, daily maintenance and regular inspection. Under strict guidance and requirements, people could tackle the potential danger beforehand. Besides, the passengers should pay enough attention to the moving escalators when they step on it. If there are kids, thehandicapped or the aged on the escalators, other passengers should pay special attention to them. Lastly, there should be enough eye-catching warning boards on, along and around escalators to remind the passengers in case of some unexpected mechanical or electrical breakdown. Only by working together can such escalator-related accidents be reduced to zero-happening.
","","","视听写作（四级网考）","/resourcefile/201007/video/Flv-20100715094211994.flv"
"1. Write a short summary of the news item, which should include:

* both the company and US Navy's roles in the Hawaii project
* the advantages and disadvantages of the Oregon project

2. Give your comment on traditional energy and the alternative energy.
","In recent years, energy shortages and environmental pollution problems have become the focus of the world's attention. Therefore, the OPT and US Navy pioneer to explore the new energy: the wave energy in Hawaii. With the US Navy's funding, reception and geographical information support and OPT's technical aid, they design a device which could generate much effective electricity back to shore. What's more, a more powerful device in the Oregon project shows the prosperous future of the renewable energy industry. But, the project in Oregon also brings trouble to the local fishing industry.

For a long period of time, the world is used to energy such as oil, coal and wood, which are in limited amounts and cause great pollution to the world when burned up. However, now the scientists have found alternative energy such as solar energy, wind and wave power, which not only are clean, but also can be renewed. Those kinds of alternative energy will help us in daily lives without polluting the environment, and we do not need to worry that they will be used up. Thus, the alternative energy will definitely become the world's leading energy instead of the traditional ones in the future and the problem of energy shortage will probably be solved.
","","
","视听写作（四级网考）","/resourcefile/201007/video/Flv-20100715081123356.flv"
"1. Write a short summary of the news item, which should include:

The ticket information of the 2010 Shanghai Expo.

2. Give your comment on the significance of Shanghai Expo.
","For the success of the 2010 Shanghai World Expo, the organizers have made a very detailed preparation. Since tickets is the very first objective for all the visitors, the authority has released nine kinds of sample tickets one year earlier and both the group booking and individual booking are available half a year earlier. The nine kinds of tickets with different prices are designed for different potential visitors and could meet various demands. Meanwhile, compared with the previous sessions of World Expo, the prices is reasonable and affordable for all folks of visitors. What's more, the visitors could buy the tickets from the four authorized ticket agencies either by online booking or from their ticket offices.

The 2010 World Expo has the highest ever number of participating countries for such an event and it is also the biggest ever. Billed as the first developing country to host the event in its 159-year history, the Chinese government is making sure that the ""Great Show on Earth"" projects the correct image of China. To some extent, the event represents China's growing confidence from rising economic clout and its increasing openness in the international community."" Meanwhile, the Expo showcases not only China, but all developing countries as well, something they should be proud of. Almost all African countries, which seldom took part in previous expos, are taking part in Shanghai World Expo. In other words, this event provides us with a better chance to share each other's civilization, to communicate with each other and to construct a harmonious global environment.
","","","视听写作（四级网考）","/resourcefile/201007/video/Flv-20100715090806423.flv"
"1. Write a short summary of the interview, which should include:

* WhoYo-Yo Ma is
* The Silk Road Project

2. Give your comments on the theme of The Power of Music.
","Yo-Yo Ma is a famous cello virtuoso. Hehas won many international prizes. He began learning to play the cello at an early age. Next month he will perform at Obama's inauguration.

The Silk Road Project, founded10 years ago as a legacy, aims to pull many musicians together to perform in concertsor workshops along the famous trade route.Since the 911 attack,musicianshave morepassion for music, and they have decided to continue the project to let the whole world feel the charm of music.

Music can reach a person's inner heart, sosome people regard music as their friend. When they are happy, music sends happy notes; when they are sad, music relieves their pain. Music also serves asa powerful world language, without borders, through which people understand andcommunicate with eachother.
","","
","视听写作（四级网考）","/resourcefile/201006/culture/audio/Mp3-20100603085039624.mp3"
"1. Write a short summary of the scientist's viewpoint on monkeys' culture based on the video clip.

2. Give your comments on the theme of Whether Monkeys Have Culture.
","According to the video, some scientists firmly believe that monkeys are so intelligent that they even have their own culture. There are a lot of examples to illustrate that point. To begin with, monkeys can score high in some intelligence tests. Secondly, monkeys live in large social groups just like our human beings. Finally, they have a good sense of what is delicious to eat and how to socialize with others.

However, I hold an opposite opinion that monkeys do not have culture. Although monkeys are really smart and have some living customs similarto humans', they never have a language of their own, especially a written language, without which they cannot record the development of their species. Besides, even though there are examples to show the learning abilities of monkeys, I maintain that monkeys actually imitate humans rather than develop some kind of learning abilities by themselves in those activities.

Though I don't believe the existence of culture among monkeys, I do believe that they are smart and lovable and should be protected by human beings.
","","","视听写作（四级网考）","/resourcefile/201007/video/Flv-20100708220916323.flv"
"Now watch the video clip again before you start writing.

Now you will have 30 minutes to write the essay based on the outline given below.

1.Write a brief summary of this news item.

2.Give yoursuggestion on how to show respect and care to those disabled persons.
","A sound feedback system, named Soundbeam, is used with young people who have severe physical handicaps to make music by themovement of their body. When an ultrasonic beam is interrupted, it will send a signal to the computer controlled sensing system. This new technology can be applied to everyday needs.

In the presence of a disabled person, many people feel uncomfortable because they don't know how to behave appropriately. In my opinion, one should take the disabled people as any other people and assume nothing about their disability. The disabled people are just common but valid people worthy of your respect and care. I just give my suggestions as follows:

Firstly, when greeting a disabled person, you can just smile or offer a spoken greeting. Sometimes a handshake is appropriate, too. Secondly, when talking with a disabled person, try to avoid mentioning his disability and always look directly at him during your conversation. When talking with those who have speech disabilities, you should be patient and pay attention to what they are saying. Do not pretend to understand when you don't. You should politely ask them to repeat what they said. If necessary, you can offer them pen and paper and try to explain the difficulty in your conversation. Last but not the least, when you offer assistance to the disabled, you should wait patiently until it is accepted.
","","","视听写作（四级网考）","/resourcefile/201002/video/Flv-20100204133515773.flv"
"1.Write a short summary of the news item, which should include:

lVolunteer Farm in the United States

lThe farm mostly relies on volunteers

2.Express your idea on the theme of Why Do People Volunteer.
","A retired government worker owns the 26 hectares of land, but he leases it to the Volunteer Farm for $1 a year, on which fresh food is being harvested to feed the hungry. On the Volunteer Farm, a manager and a volunteer coordinator are the only paid staff. As its name suggests, the farm relies on volunteers to weed, plant and harvest.

In my opinion, people volunteer mainly for the following reasons. First, they are enthusiastic about something which can do good for others in need. Second, they are grateful for life and they would like to give something back to the society they live in. Third, through volunteer work, skills and experience in a certain field can be gained and a sense of recognition can be achieved. Last but not least, volunteer work is beneficial for one’s growth and many a time, can help people find lifelong friendship. All in all, volunteer work gives people a sense of accomplishment.
","","","视听写作（四级网考）","/resourcefile/201010/life/audio/Mp3-20101011111339778.mp3"
"
","
","","","视听写作（四级网考）",""
"
","
","","","视听写作（四级网考）",""
"
","
","","","视听写作（四级网考）",""
"1. Write a short summary of the talk, which should include:

*

What the scheme is all about, why it is started

*

What the two speakers think of it

2. Give your comments on whether any individual effort by either a person or an organization can make a difference in protecting our environment.
","The scheme talked about in the conversation is started by a new Copenhagen hotel in its opening business, which says that any cyclist who can cycle for roughly 15 minutes to power several light bulbs can get a free main course. This is really unusual and can be easily misunderstood as a publicity act, which is exactly what one of the speakers originally believed. Later on, as we listen on, we are told that this brilliant idea is really out of the hotel's environmental concerns in the larger part with a side-effect of free advertising as well.

At this point, I can't help wondering whether it can serve its primary purpose considering that it is just a temporary and ""minimal"" effort made by a singleorganization. Doubts of this kind are not uncommon nowadays. We often ask ourselves, ""What's the use of it if I am the only one who do this, be it to keep a place clean, to protect our environment or to save energy?"" However, on second thoughts, we would answer the doubt with a definite ""yes"" as a truth unfolds itself plainly before our eyes: If no one takes the initiative, no awareness will be aroused, which in turn will lead to an overwhelmingly passive society. If that does happen, I think our days on the Earth are numbered.

Meanwhile, we read countless stories of great social changes triggered by an individual although the impact was limited at that time. The story of Ruby Bridges who helped end segregation in the United States can be read in some history books. And recently, Charlie Simpson, a seven-year-old boy who hoped to raise £500 for Haiti earthquake relief by cycling five miles around a local park has raised £120,000 in donations and gift aid, with the total still rising.

I firmly believe the same can be applied in the case of environmental protection. More and more people like Ruby and Charlie will stand up to live by the same belief and contribute to protecting our environment. Later, with our joined hands, we are sure to live in a better world.
","","","视听写作（四级网考）","/resourcefile/201008/technology/audio/Mp3-20100826113134731[1].mp3"
